Sample,C3,C4,C5,C6,C7,C8,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,Units,C8incl,Citation,prior_name,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
Fomtec 3% M  2013 (FT 1),7.11,13.28,5.54,0.99,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chemguard C306-MS-C 2017 (FT 2),9.11,16.92,6.77,1.39,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angus Fire Tridol MC6 6% 2016 (FT 3),4.14,7.94,2.54,0.59,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Solberg Arctic US Type 3 2016 (FT 4),7.48,16.09,4.16,1.07,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chemguard C606-MS-C 2017 (FT 5),4.27,8.06,3.53,0.65,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PHOS-CHEK WD881 2015 (Class A Foam),0,0,0,0,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angus Fire Tridol MC6 3% 2016 (FT 6),6.9,15.03,4.2,0.89,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Solberg Aarctic US Type 6 2015 (FT 7),4.84,9.71,2.44,0.62,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fire Service Plus FireAde MIL 3% 2017 (FT 8),10.04,18.99,7.7,1.52,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fire Service Flus FireAde MIL 6% (FT 9),5.05,9.95,4.1,0.79,0,,0,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M LightWater FC-203CF 2001 (ECF),8.07,5.12,26.94,0.36,0.34,,18.01,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M LightWater FC-203CF 2001 Duplicate (ECF Dup),9.48,6.08,32.17,0.44,0.42,,19.6,0.0054,0.0033,0.0011,0.0015,0.0046,,0.0035,mM,FALSE,Ruyle et al. 2021a,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1988,2.6,1.3,15,0.5,0.7,,22,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1989,3.2,0.4,14,0.3,0.6,,22,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1992,4.3,2,13,0.2,0.4,,10.2,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1993a,4.8,2.5,14,0.2,0.4,,11.2,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1993b,4.5,2,11,0.1,0.3,,10.6,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1998a,4.5,3,13,0.3,0.4,,11.4,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1998b,4.5,1.2,11,0.2,0.2,,9.8,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 1999,0,4.2,11,0.8,0.3,,9.8,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M 2001,6.6,2.8,22,0.6,0.9,,16,0.47,0.38,0.32,0.28,0.24,,0.2,mM,FALSE,"Measurements reported Houtz et al 2013, inference performed in Ruyle et al 2021b",AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
