Core,Upper_depth_cm,Lower_depth_cm,Dry_weight_pct,Porosity,Dry_mass_density_g_cm3,Upper_mass_g_cm2,Lower_mass_g_cm2,Median_mass_g_cm2,Pb210,Pb210_Err,Pb210_Unsupported
CORE-1,0,2,30,0.871,0.3354,0,0.6708,0.3354,9.12,0.28,8.4
CORE-1,2,4,,,0.378733333,0.6708,1.428266667,1.049533333,,,
CORE-1,4,6,33,0.853,0.3822,1.428266667,2.192666667,1.810466667,7.54,0.22,6.82
CORE-1,6,9,,,0.409933333,2.192666667,3.422466667,2.807566667,,,
CORE-1,9,11,35.3,0.839,0.4186,3.422466667,4.259666667,3.841066667,7.5,0.34,6.78
CORE-1,11,14,,,0.409933333,4.259666667,5.489466667,4.874566667,,,
CORE-1,14,16,36,0.835,0.429,5.489466667,6.347466667,5.918466667,7.68,0.23,6.96
CORE-1,16,19,,,0.377,6.347466667,7.478466667,6.912966667,,,
CORE-1,19,21,33.1,0.853,0.3822,7.478466667,8.242866667,7.860666667,6.01,0.23,5.29
CORE-1,21,29,,,0.372666667,8.242866667,11.2242,9.733533333,,,
CORE-1,29,31,33.6,0.877,0.3198,11.2242,11.8638,11.544,4.8,0.25,4.08
CORE-1,31,37,,,0.396066667,11.8638,14.2402,13.052,,,
CORE-1,37,41,35.1,0.84,0.416,14.2402,15.9042,15.0722,4.19,0.17,3.47
CORE-1,41,49,,,0.4316,15.9042,19.357,17.6306,,,
CORE-1,49,51,37.4,0.826,0.4524,19.357,20.2618,19.8094,2.03,0.15,1.31
CORE-1,51,59,,,0.437666667,20.2618,23.76313333,22.01246667,,,
CORE-1,59,61,35.8,0.836,0.4264,23.76313333,24.61593333,24.18953333,2.02,0.14,1.3
CORE-1,61,69,,,0.429866667,24.61593333,28.05486667,26.3354,,,
CORE-1,69,71,36.3,0.833,0.4342,28.05486667,28.92326667,28.48906667,1.52,0.09,0.8
CORE-1,71,79,,,0.4342,28.92326667,32.39686667,30.66006667,,,
CORE-1,79,81,36,0.835,0.429,32.39686667,33.25486667,32.82586667,1.06,0.07,0.34
CORE-1,81,89,,,0.430733333,33.25486667,36.70073333,34.9778,,,
CORE-1,89,91,36.6,0.831,0.4394,36.70073333,37.57953333,37.14013333,0.77,0.09,
CORE-1,91,99,,,0.446333333,37.57953333,41.1502,39.36486667,,,
CORE-1,99,101,35.6,0.837,0.4238,41.1502,41.9978,41.574,0.85,0.07,
CORE-1,101,119,,,0.453266667,41.9978,50.1566,46.0772,,,
CORE-1,119,121,38.8,0.817,0.4758,50.1566,51.1082,50.6324,0.66,0.06,
CORE-1,121,139,,,0.469733333,51.1082,59.5634,55.3358,,,
CORE-1,139,141,37.9,0.823,0.4602,59.5634,60.4838,60.0236,0.64,0.05,
CORE-1,141,159,,,0.458466667,60.4838,68.7362,64.61,,,
CORE-1,159,161,38.6,0.818,0.4732,68.7362,69.6826,69.2094,0.62,0.06,
CORE-1,161,179,,,0.446333333,69.6826,77.7166,73.6996,,,
CORE-1,179,181,36.7,0.83,0.442,77.7166,78.6006,78.1586,0.75,0.08,
CORE-1,181,199,,,0.455866667,78.6006,86.8062,82.7034,,,
CORE-1,199,201,35.7,0.837,0.4238,86.8062,87.6538,87.23,0.71,0.08,
CORE-1,201,219,,,0.466266667,87.6538,96.0466,91.8502,,,
CORE-1,219,221,40.2,0.807,0.5018,96.0466,97.0502,96.5484,0.7,0.06,
CORE-1,221,259,,,0.4875,97.0502,115.5752,106.3127,,,
CORE-1,259,261,38.6,0.818,0.4732,115.5752,116.5216,116.0484,0.86,0.09,
CORE-2,0,2,30,0.871,0.3354,0,0.6708,0.3354,9.9,0.28,9.18
CORE-2,2,4,,,0.376133333,0.6708,1.423066667,1.046933333,,,
CORE-2,4,6,33.5,0.85,0.39,1.423066667,2.203066667,1.813066667,8.3,0.27,7.58
CORE-2,6,9,,,0.389133333,2.203066667,3.370466667,2.786766667,,,
CORE-2,9,11,34.4,0.845,0.403,3.370466667,4.176466667,3.773466667,8.75,0.32,8.03
CORE-2,11,14,,,0.396066667,4.176466667,5.364666667,4.770566667,,,
CORE-2,14,16,32.5,0.856,0.3744,5.364666667,6.113466667,5.739066667,7.6,0.22,6.88
CORE-2,16,19,,,0.389133333,6.113466667,7.280866667,6.697166667,,,
CORE-2,19,21,34.9,0.842,0.4108,7.280866667,8.102466667,7.691666667,7.32,0.28,6.6
CORE-2,21,29,,,0.407333333,8.102466667,11.36113333,9.7318,,,
