sys_sample_code,Analyte,Value,Detect_Y_N,Area,Outfall,Date,Day_of_year,Month,Season,Season_idx
61956-20070117,Nitrate,0.129,Y,Area_E,862A,2007-01-17 00:00:00,17,1,1-Winter,1
61956-20070117,Nitrite,0.0028,Y,Area_E,862A,2007-01-17 00:00:00,17,1,1-Winter,1
61969-20070118,Nitrate,1.57,Y,Area_E,863,2007-01-18 00:00:00,18,1,1-Winter,1
61969-20070118,Nitrite,0.0021,Y,Area_E,863,2007-01-18 00:00:00,18,1,1-Winter,1
CFSA-SW-080214,Nitrate,0.05,Y,Area_G,864A,2008-02-14 00:00:00,45,2,1-Winter,1
CFSA-SW-080513,Nitrite,0.026,Y,Area_G,864A,2008-05-13 00:00:00,134,5,2-Spring,2
COL-SW-905A-120220,Nitrate,0.57,Y,Area_C,905A,2012-02-20 00:00:00,51,2,1-Winter,1
COL-SW-906-120217,Nitrate,0.023,Y,Area_C,906,2012-02-17 00:00:00,48,2,1-Winter,1
COL-SW-911-090316,Nitrate,0.28,Y,Area_C,911,2009-03-16 00:00:00,75,3,1-Winter,1
COL-SW-911-091216,Nitrate,0.38,Y,Area_C,911,2009-12-16 00:00:00,350,12,4-Fall,4
COL-SW-911-091216,Nitrite,0.009,Y,Area_C,911,2009-12-16 00:00:00,350,12,4-Fall,4
DY-SW-832A-120124,Nitrate,0.079,Y,Area_A,832A,2012-01-24 00:00:00,24,1,1-Winter,1
DY-SW-832A-120124,Nitrite,0.018,Y,Area_A,832A,2012-01-24 00:00:00,24,1,1-Winter,1
DY-SW-833-101101,Nitrate,2.81,Y,Area_A,833,2010-11-01 00:00:00,305,11,4-Fall,4
ND-SW-850-120209,Nitrate,0.164,Y,Area_L,850,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-850-120209,Nitrite,0.011,Y,Area_L,850,2012-02-09 00:00:00,40,2,1-Winter,1
ND-SW-850A-090127,Nitrate,0.95,Y,Area_H,850A,2009-01-27 00:00:00,27,1,1-Winter,1
ND-SW-850A-090127,Nitrite,0.008,Y,Area_H,850A,2009-01-27 00:00:00,27,1,1-Winter,1
ND-SW-854-100609-20090609,Nitrate,1.18,Y,Area_H,854,2009-06-09 00:00:00,160,6,2-Spring,2
ND-SW-854-100609-20090609,Nitrite,0.064,Y,Area_H,854,2009-06-09 00:00:00,160,6,2-Spring,2
RMP19-LK-872-20200206,Nitrate,0.487,Y,Area_I,872,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-LK-873-20191204,Nitrate,1.42,Y,Area_I,873C,2019-12-04 00:00:00,338,12,4-Fall,4
RMP19-PB-865E-20200206,Nitrate,0.768,Y,Area_J,865E,2020-02-06 00:00:00,37,2,1-Winter,1
RMP19-PB-865F-20191212,Nitrate,0.033,Y,Area_J,865F,2019-12-12 00:00:00,346,12,4-Fall,4
